Company_ID,Sector,CO2_Emissions,Energy_Consumption,Waste_Recycling_Rate,Employee_Satisfaction,Diversity_Index,Training_Hours_per_Employee,Board_Independence,Transparency_Score,Anti_Corruption_Policies,ESG_Score
1,Manufacturing,296.3677875770531,944.022017388607,36.42787850247312,69.02062515796322,51.862990718050845,37.49350617287417,60.40296656982237,41.32349479464767,5.385820699802613,50.70949374044643
2,Retail,317.35493809298737,1195.7158356884715,84.69534590078996,69.39507401914858,27.33594680891441,78.8263555552178,44.400156706937935,85.03931697299662,32.005983252098346,59.51350094315759
3,Tech,340.99389858972825,1260.5722325408387,10.60274905072598,66.45983716131722,46.90963710627376,16.21854820006743,31.15012116699636,70.22111676224367,75.31873359134028,42.02630213682668
4,Retail,343.4790952993949,958.5789944773512,28.02662381700226,67.3356571851687,61.80153533076185,39.844894747685764,62.34677458833786,69.6602753519993,26.933129830202507,50.05025130915429
5,Retail,302.24795706785613,767.8041783579549,39.22854557392461,82.09459545864323,78.58174457477162,56.03424697694939,42.26780875326837,57.37299341407221,53.95562204955051,55.35102227883435
6,Energy,204.23303493293577,1280.7952962757615,49.024784064699034,45.663981363222355,20.267708963438338,34.665881290997646,80.65070672693517,65.08070994274068,72.79471767307432,56.34087287631333
7,Tech,363.1738243800538,1744.0999727636722,78.0654014268917,58.389954622076516,57.3848613230122,78.10248889030174,89.53358561510399,57.80251442004477,10.794371464646435,58.658529859002776
8,Tech,334.51915706104336,1321.3748685352575,17.03100996321151,44.152685009213904,43.760230116390574,59.14157209452013,72.66994338309007,67.781283313196,68.52980161158733,43.93663293006452
9,Tech,212.25981611382483,1227.0217760944984,74.46919093929148,81.4285421411098,88.2257457353521,54.27378931733698,26.333718670093553,73.95650369408452,9.18708877100447,68.57789371233801
10,Retail,245.41587488637822,1224.8191307401437,14.452279148558027,54.97660200961647,77.24426521873936,61.77944507084175,40.20799168714467,77.20126644863339,96.51297421269966,51.28637243156709
11,Manufacturing,371.0009291533015,1122.4746792547694,77.38512282385453,89.35867254003864,67.12868275767158,76.44864785290378,27.63767422360248,67.27368347915983,48.839413006493956,58.443108624544166
12,Tech,348.438650467814,1555.0446960423008,14.130838229961027,68.96181566626116,42.18125165574189,73.086398973848,65.5358153454201,80.49954471301122,15.067610770987738,46.66651322339288
13,Retail,242.37616057129495,1048.367317862441,11.459398514268884,84.04123743173665,92.82712816460274,59.321398109480896,73.56336051890493,39.88946344928541,34.23836360335465,56.38745116423471
14,Energy,278.40529847394475,792.9643546744313,65.75691698931372,93.84122895887786,23.608054177625853,61.18712293259623,84.79723816164983,44.838774363156695,41.34164492952615,61.311665334290886
15,Manufacturing,288.52302162954487,725.5038223156364,89.78044278147155,86.18838727011138,28.757407894329212,15.944155552635909,50.672064248839135,87.3114502851989,75.81850110765373,65.72792929459095
16,Energy,349.3603020572104,1223.702704273217,81.72882103792166,87.6846568006338,51.33041124322848,12.709430336949927,83.0962954711911,52.57695844924906,74.34237860766093,62.81947829070899
17,Manufacturing,399.91525593119286,1518.2077389540905,56.0798734244528,62.43914724506646,29.955004583748508,47.81783763831232,81.45238113289292,31.60256774832842,61.194050533733105,46.55445218882794
18,Retail,305.251932648898,1271.2455754865819,83.39164904684253,70.3447427392637,96.513255804754,6.3775727705405,42.2037001735779,40.765380476762175,10.593071255849296,62.37191212791508
19,Finance,393.5366117562098,1104.789364418807,10.424000511808433,53.96387102238174,83.83914577147067,41.17672861636937,80.82304378783996,45.653010414741786,15.15693715876736,43.25459840067861
20,Manufacturing,369.8653575271541,1337.5323889685938,88.0053730356114,50.78622048313991,40.7186121281451,20.776218493915145,46.297057631720854,97.0126021526211,9.375692064555663,57.04635568175798
21,Energy,316.4520107205336,1255.8637031683877,49.25990234070276,67.80293335083186,67.08433831785963,30.95124257336297,40.780849219219654,70.11290002515946,57.71727832875501,54.36052860162474
22,Retail,184.52133186430092,1447.8571420962799,67.83168772974206,72.72769388352313,98.58644120640653,63.1853551844717,65.43522611560752,95.29115183333784,87.71384415114039,74.64302918526117
23,Manufacturing,217.78313087292088,1597.951166231032,75.66891785226821,58.659918524290504,90.73591825052023,75.59281281742899,42.98668595195568,70.26143453476374,43.38005122547718,66.62715925523413
24,Finance,359.29925080361744,913.6829614281015,67.47658166692429,71.31939347699252,68.06387571537584,10.431220410975612,64.1146123830401,63.554810809649624,16.08481739577462,57.80743228219595
25,Finance,163.15763371799753,498.1210309069804,52.802938563592846,88.81032653824266,92.29791737402164,45.06816544823339,62.68822638490862,51.96093838358672,55.804232514896704,70.05931627415681
26,Tech,309.5182793516788,1094.538960413865,48.12955873011296,70.61968716308513,99.13479278506871,71.19001143647,59.44072491439211,72.44596611033629,81.17522168657099,60.265780239283814
27,Tech,380.0388486209684,894.1975598279786,77.08660469620997,79.64472029707787,79.46822583148993,11.188140083031595,46.62937929629584,39.743861723227084,74.171206151293,56.77924283268181
28,Energy,312.19366898074077,1449.5874559723534,26.406204811956727,84.29232320468478,25.198912758631522,66.83855351726254,58.39498051560337,92.87831391048942,88.14507796750213,52.36101280435662
